Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
D-12725,McConnell Singers,Remember Me / Dip Me In The Water,McConnell's,"7""",,0,16142330,45 60's/70's R&B,2023-02-21 00:10:02,Good Plus (G+),Generic,
CG001LP,Childish Gambino With Jaden Smith,Kauai,mcDJ Records,"12"", EP, RSD, Ltd, Spl",,2022,22983704,Modern R&B,2022-05-02 23:33:12,Mint (M),Mint (M),
LP-MMG050,L'Orange,The Orchid Days,Mello Music Group,"LP, Album",,2014,6416756,Hip-Hop,2018-12-22 00:30:42,Mint (M),Near Mint (NM or M-),
MEL4XX,Aged In Harmony,You're A Melody,Melodies International,"3x7"", Comp, Ltd, RM, RP",,2021,19560268,45 Funk/Soul,2022-07-13 17:31:15,Mint (M),Mint (M),
76123,Bar-Kays,Hit And Run / Say It Through Love,Mercury,"7"", Single, Styrene, 19,",,1981,3522551,45 Funk/Soul,2023-06-30 23:28:51,Very Good Plus (VG+),Generic,
76128,Con Funk Shun,Bad Lady / California 1,Mercury,"7""",,1982,3138579,45 Funk/Soul,2018-12-21 20:43:46,Near Mint (NM or M-),Generic,
824 607-1,René & Angela,Street Called Desire,Mercury,"LP, Album",,1985,129125,Funk/Soul,2018-08-08 22:28:03,Near Mint (NM or M-),Very Good Plus (VG+),
884 009-1,René & Angela,I'll Be Good,Mercury,"12""",,1985,341843,45 80's R&B,2023-02-21 23:00:07,Very Good (VG),Very Good (VG),
SRM-1-4030,Con Funk Shun,7,Mercury,"LP, Album, 53 ",,1981,1207319,Funk/Soul,2018-08-08 23:32:34,Very Good Plus (VG+),Very Good Plus (VG+),
MRG488,Caribou,Our Love,Merge Records,"LP, Album, 180",,2014,6148737,Electronic,2019-09-03 00:49:47,Mint (M),Mint (M),
MRG708,Caribou,Suddenly,Merge Records,"LP, Album",,2020,14853317,Electronic,2020-03-04 23:25:37,Mint (M),Mint (M),
XMS-124,Joe Bataan,Salsoul,Mericana Records,"LP, Album, RE",,0,1307893,Latin Funk,2018-08-08 01:36:39,Near Mint (NM or M-),Near Mint (NM or M-),
MF 93 LP,MF Doom,Operation: Doomsday,Metal Face Records,"2xLP, Album, RE, Ori",,2016,9169243,Hip-Hop,2019-01-04 20:53:42,Near Mint (NM or M-),Near Mint (NM or M-),
MMS-117,The Winstons,"Color Him Father / Amen, Brother",Metromedia Records,"7"", Styrene, Ter",,1969,14594283,45 Funk/Soul,2023-02-22 16:21:42,Very Good (VG),Generic,
MEX 023,Washed Out,Life Of Leisure,Mexican Summer,"12"", EP, RP",,2010,3419700,Indie/Alternative,2018-08-13 22:39:21,Very Good Plus (VG+),Very Good Plus (VG+),
MEX 053,Best Coast,Crazy For You,Mexican Summer,"LP, Album",,2010,3229084,Indie/Alternative,2018-08-15 01:44:54,Near Mint (NM or M-),Near Mint (NM or M-),
MEX238,Connan Mockasin,Jassbusters,Mexican Summer,"LP, Album, Ltd",,2018,12655388,Indie/Alternative,2023-01-18 22:53:15,Mint (M),Mint (M),
K 13659,Joanne Morgan,Just How Loud (Must The Music Play),MGM Records,"7"", Promo",,1968,5422837,45 60's Rock,2023-02-15 19:45:04,Near Mint (NM or M-),Very Good (VG),
K 14588,The Incredible Bongo Band,Bongo Rock / Bongolia,MGM Records,"7"", Single, Styrene",,1972,1610510,45 Funk/Soul,2023-06-11 00:56:57,Very Good Plus (VG+),Generic,
Mx-342,Nitoy Gonzales And His Rondalla,Polka Sa Nayon / Tinikling,Mico Records,"7"", Single",,0,23455850,Uncategorized,2023-02-22 18:16:26,Good (G),Generic,
Mx-420,Nitoy Gonzales And His Rondalla,Pandanggo Sa Ilaw,Mico Records,"7"", Single",,0,13117242,Uncategorized,2023-02-22 18:22:21,Good (G),Very Good (VG),
19439773931,The Seatbelts,Cowboy Bebop (Original Series Soundtrack),Milan,2xLP,,2020,16224458,Japanese,2020-11-27 19:21:07,Mint (M),Mint (M),
MIL00006,Gary Bartz NTU Troop,Harlem Bush Music - Uhuru,Milestone (4),"LP, Album, Ltd, RE",,2017,10644052,Jazz,2018-08-08 03:12:52,Near Mint (NM or M-),Near Mint (NM or M-),
MR-023,The Cavaliers Unlimited,Soul Vein / The Nasty,Mississippi Records,"7"", Mono, Ltd, RE",,2008,1549870,45 Funk/Soul,2023-05-08 21:57:41,Near Mint (NM or M-),Near Mint (NM or M-),
MR-023,The Cavaliers Unlimited,Soul Vein / The Nasty,Mississippi Records,"7"", Mono, Ltd, RE",,2008,1549870,Funk/Soul,2023-05-16 00:06:18,Near Mint (NM or M-),Near Mint (NM or M-),
"MRP-043, MJC-R020",The Human Expression,Love At A Psychedelic Velocity,"Mississippi/Change Records, Moi J'Connais Records","LP, Comp",,2017,21266572,Psych/Garage Rock,2023-05-21 22:27:52,Near Mint (NM or M-),Near Mint (NM or M-),
MFSL 1-023,The Beatles,Abbey Road,"Mobile Fidelity Sound Lab, Capitol Records","LP, Album, Ltd, RE, RM",,1980,728419,60's Rock,2018-08-13 21:30:44,Very Good (VG),Fair (F),
"MFSL 1-390, B0016078-01",Weezer,Weezer,"Mobile Fidelity Sound Lab, Universal Music Special Markets","LP, Album, Ltd, Num, RE, RM, S/Edition, 180",,2012,3923945,90's Rock/Alternative,2018-08-15 01:59:52,Near Mint (NM or M-),Near Mint (NM or M-),
"MCR 902, 7243 8 48499 1 7",D'Angelo,Voodoo,"Modern Classics Recordings, Light In The Attic, Virgin, Cheeba Sound","2xLP, Album, RE, RP",,2018,13398863,2000s R&B,2023-07-19 00:42:10,Near Mint (NM or M-),Near Mint (NM or M-),
MH-8218,The Sun Ra Arkestra,Celestial Love,"Modern Harmonic, Cosmic Myth Records","LP, Album, RE",,2020,15694341,Jazz,2023-04-20 23:42:32,Mint (M),Mint (M),
MP239-1,Hinds,Leave Me Alone,Mom + Pop,"LP, Album",,2016,7956005,Indie/Alternative,2018-10-11 01:13:41,Near Mint (NM or M-),Near Mint (NM or M-),
MOND-109,Various,Master Of None - A Netflix Original Series Soundtrack - Season Two,Mondo (3),"2xLP, Album",,2017,10281889,Soundtrack,2018-08-13 23:07:33,Near Mint (NM or M-),Near Mint (NM or M-),
MGLP111,Eri Ohno,Good Question,"Mondo Groove, Cinedelic Records, On Records Japan","LP, Album, RP",,2022,21362590,Japanese,2023-05-24 22:34:37,Near Mint (NM or M-),Near Mint (NM or M-),
45-225,Ann Sexton,I Want To Be Loved,Monument,"7""",,1976,14387843,45 60's/70's R&B,2020-11-22 06:21:11,Very Good Plus (VG+),Generic,
MOON-28018,Mariya Takeuchi,Variety = ヴァラエティ,Moon Records (5),"LP, Album, Gat",,1984,2220409,Japanese,2022-07-19 14:56:29,Mint (M),Mint (M),
WPJL-10152,Mariya Takeuchi,Plastic Love,Moon Records (5),"12"", Ltd, RE, RM",,2021,20684092,Japanese,2022-01-10 16:54:04,Mint (M),Mint (M),
WPJL-10152,Mariya Takeuchi,Plastic Love,Moon Records (5),"12"", Ltd, RE, RM",,2021,20684092,Japanese,2022-01-15 20:44:52,Mint (M),Mint (M),
374632193-7,Boyz II Men / The Jackson 5,In The Still Of The Nite (I'll Remember) / Who's Lovin' You,Motown,"7""",,1992,4943739,45 R&B,2023-02-21 21:51:04,Very Good Plus (VG+),Generic,
M 1024,Mary Wells,The One Who Really Loves You / I'm Gonna Stay,Motown,"7"", Styrene, Ter",,1962,1526113,45 60's/70's R&B,2023-02-23 15:16:48,Good (G),,
M 1157,The Jackson 5,I Want You Back,Motown,"7"", Single",,1969,3837600,45 60's/70's R&B,2023-05-24 23:34:31,Very Good (VG),Generic,
M 1179,The Jackson 5,Never Can Say Goodbye,Motown,"7"", Single",,1971,5865395,45 Funk/Soul,2018-12-21 20:39:51,Near Mint (NM or M-),Generic,
M 1179,The Jackson 5,Never Can Say Goodbye ,Motown,"7"", Single, Sup",,1971,2108068,45 Funk/Soul,2023-02-22 22:49:27,Near Mint (NM or M-),Generic,
M 1286F,The Jackson 5,Dancing Machine,Motown,"7"", Single, Styrene",,1974,596439,45 Funk/Soul,2023-02-22 22:41:31,Very Good Plus (VG+),Generic,
M 1286F,The Jackson 5,Dancing Machine,Motown,"7"", Single",,1974,2440117,45 Funk/Soul,2023-06-11 00:56:57,Very Good (VG),Generic,
M 747L,Michael Jackson,Got To Be There,Motown,"LP, Album",,1972,1515378,Funk/Soul,2018-08-08 22:29:55,Very Good Plus (VG+),Very Good Plus (VG+),
M 766L,Willie Hutch,The Mack,Motown,"LP, Album, RE",,0,2398749,Funk/Soul,2018-08-09 00:02:41,Near Mint (NM or M-),Near Mint (NM or M-),
M 793R3,The Miracles,Anthology,Motown,"3xLP, Comp",,1973,1795251,60's R&B,2018-08-11 01:45:43,Good Plus (G+),Good (G),
M-1056,Mary Wells,My Guy,Motown,"7"", Single",,1964,2768914,45 60's/70's R&B,2023-02-23 15:08:42,Good (G),Generic,
M-1062,Four Tops,Baby I Need Your Loving,Motown,"7"", Single",,1964,4520230,45 60's/70's R&B,2018-12-21 20:40:46,Near Mint (NM or M-),Near Mint (NM or M-),
M5-152V1,The Jackson 5,ABC,Motown,"LP, Album, RE",,0,717592,Funk/Soul,2018-08-08 22:39:25,Very Good Plus (VG+),Very Good Plus (VG+),
M5-179V1,Stevie Wonder,My Cherie Amour,Motown,"LP, RE",,1981,3465042,60's R&B,2018-08-11 01:19:48,Very Good Plus (VG+),Very Good Plus (VG+),
Motown 1068,The Supremes,Come See About Me ,Motown,"7"", Single",,1964,2108864,45 60's/70's R&B,2023-02-23 15:30:55,Good Plus (G+),No Cover,
Y 564F,Stevie Wonder,You Are The Sunshine Of My Life / Higher Ground,Motown,"7"", Single",,1973,1658943,45 Funk/Soul,2018-12-21 20:49:36,Near Mint (NM or M-),Generic,
Y-643F,Rick James,Super Freak (Part I) / Give It To Me Baby,Motown,"7""",,1981,1354766,45 Funk/Soul,2020-11-17 07:02:53,Near Mint (NM or M-),Good Plus (G+),
B0025337-01,Erykah Badu,Mama's Gun,"Motown, UMe","2xLP, Album, RE, RM, Gat",,2016,9220574,2000s R&B,2018-08-08 04:08:09,Mint (M),Near Mint (NM or M-),
MMR,"The Littlest Viking, Here Between You Me","The Littlest Viking / Here Between You Me ""Split""",Mountain Man Records,"12"", S/Sided, EP, Mar",,2014,8287220,Contemporary Emo,2018-08-15 01:40:57,Near Mint (NM or M-),Near Mint (NM or M-),
MC 25613,George Duke,The Aura Will Prevail,"MPS Records, BASF","LP, Album, PRC",,1975,1520668,Jazz,2020-07-06 02:58:52,Very Good (VG),Very Good (VG),
MC 25671,George Duke,"I Love The Blues, She Heard My Cry","MPS Records, BASF","LP, Album",,1975,51356,Jazz,2018-08-08 23:06:44,Very Good Plus (VG+),Very Good Plus (VG+),
WB007,The Dave Pike Set,Mathar / Regards From Freddie Horowitz,"MPS Records, WallenBink","7"", Single, Ltd, RE, RM",,2021,18919180,45 Funk/Soul,2023-05-24 22:52:35,Near Mint (NM or M-),Near Mint (NM or M-),
WB007,The Dave Pike Set,Mathar / Regards From Freddie Horowitz,"MPS Records, WallenBink","7"", Single, Ltd, RE, RM",,2021,18919180,45 Funk/Soul,2023-05-24 22:55:57,Near Mint (NM or M-),Near Mint (NM or M-),
BRZ45.049,Arthur Verocai,Sylvia / Na Boca Do Sol,Mr Bongo,"7""",,2016,8625992,Brazilian,2019-06-15 06:26:53,Mint (M),Mint (M),
MRB7155,Kit Sebastian,Mantra Moderne,Mr Bongo,"7""",,2019,13703720,Brazilian,2019-06-15 06:23:59,Mint (M),Mint (M),
MRB7206,Various,Brazil45: Mr Bongo x Kenny Dope,Mr Bongo,"5x7"", RSD + Box, RSD, Comp, Ltd",,2022,22977998,45 Funk/Soul,2022-07-13 17:32:21,Mint (M),Mint (M),
MRBLP-204,"Tadao Sawai, Kazue Sawai, Takeshi Inomata, Norio Maeda, Hozan Yamamoto",Jazz Rock 琴 / 日本の民謡,Mr Bongo,"LP, Ltd, RE, Gat",,2020,15231011,Japanese,2020-07-26 23:45:23,Mint (M),Mint (M),
mrblp022c,Seu Jorge,Carolina LRS 2001,Mr Bongo,"12"", Album, Ltd, Cle",,2021,20227885,Brazilian,2021-12-01 16:07:06,Mint (M),Mint (M),
MRBLP046,Various,Brazilian Beats Brooklyn,Mr Bongo,"2xLP, Comp, RP",,2022,23815751,Brazilian,2022-07-13 17:39:11,Mint (M),Mint (M),
MRBLP133,Arthur Verocai,Arthur Verocai,Mr Bongo,"LP, Album, RM, RP, Gat",,2018,12004489,Brazilian,2018-08-08 00:44:18,Mint (M),Mint (M),
MRBLP134,Banda Black Rio,Maria Fumaça,Mr Bongo,"LP, Album, RE",,2016,8825534,Brazilian,2022-07-13 17:38:08,Mint (M),Mint (M),
MRBLP139,Pedro Santos,Krishnanda,Mr Bongo,"LP, Album, RE",,2016,9230122,Brazilian,2023-01-27 21:44:38,Mint (M),Mint (M),
MRBLP161,Jackson Sisters,Jackson Sisters,Mr Bongo,"LP, Album, RE",,2018,12191547,Funk/Soul,2018-11-25 04:58:55,Mint (M),Mint (M),
MRBLP191,Akira Ishikawa,Back To Rhythm,Mr Bongo,"LP, Album, RE",,2019,13278831,Japanese,2021-11-03 19:00:53,Mint (M),Mint (M),
MRBLP201,Shina Williams & His African Percussionists,Shina Williams,Mr Bongo,"LP, Album, RE",,2019,14443728,African,2020-11-17 06:28:07,Near Mint (NM or M-),Near Mint (NM or M-),
MRBLP214,Hozan Yamamoto With Nobuo Hara And His Sharps & Flats,Beautiful Bamboo-Flute,Mr Bongo,"LP, Album, RE, Gat",,2019,14186922,Japanese,2021-11-03 19:01:45,Mint (M),Mint (M),
MRBLP224,Tom Brock,I Love You More And More,Mr Bongo,"LP, Album, RE",,2021,17598739,Funk/Soul,2021-04-14 13:04:19,Mint (M),Mint (M),
MRBLP230,Sandra De Sá,Vale Tudo,Mr Bongo,"LP, Album, RE",,2021,18584734,Brazilian,2021-05-27 18:58:34,Mint (M),Mint (M),
MRBLP234,Hozan Yamamoto - Yu Imai,悪魔が来りて笛を吹く,Mr Bongo,"LP, Album, RE",,2021,20336734,Japanese,2021-11-03 17:16:53,Mint (M),Mint (M),
MRBLP244,Luke Una,É Soul Cultura,Mr Bongo,"2xLP, Comp",,2022,22967606,Latin Funk,2023-01-22 23:16:52,Mint (M),,
MRBLP252,Ryo Kawasaki = Ryo Kawasaki,Juice = ジュース,Mr Bongo,"LP, Album, RE",,2022,24121094,Japanese,2022-08-12 20:13:11,Mint (M),Mint (M),
MRBLP266,Waltel Branco,Meu Balanço,Mr Bongo,"LP, Album, RE",,2023,26218835,Brazilian,2023-07-22 19:51:04,Near Mint (NM or M-),Near Mint (NM or M-),
"MRBLP189 , ARLP-4005",Trio Mocotó,Trio Mocotó,"Mr Bongo, Arlequim","LP, Album, RE, RM",,2019,13207696,Brazilian,2021-11-03 17:15:34,Mint (M),Mint (M),
"MRBLP221, 65804",Asha Puthli,Asha Puthli ,"Mr Bongo, CBS","LP, Album, RSD, RE, Blu",,2020,15833326,Funk/Soul,2020-11-02 06:35:39,Mint (M),Mint (M),
"MRBLP184, GFS-S-1011",Skull Snaps,Skull Snaps,"Mr Bongo, GSF Records","LP, Album, RE, Gat",,2018,12653942,Funk/Soul,2018-11-25 05:00:12,Mint (M),Mint (M),
"MRBLP160, JXS 7004",Cymande,Promised Heights,"Mr Bongo, Janus Records","LP, Album, RE, 180",,2018,11895762,Funk/Soul,2021-03-04 16:37:46,Mint (M),Mint (M),
"MRB7174, none",Souls Of Mischief,93 'Til Infinity,"Mr Bongo, Jive","7"", Ltd, Bla",,2020,15862351,45 Hip-Hop/Instrumental,2021-02-22 17:18:40,Mint (M),Mint (M),
"MRB7174, none",Souls Of Mischief,93 'Til Infinity,"Mr Bongo, Jive","7"", Ltd, Bla",,2020,15862351,45 Funk/Soul,2021-02-22 17:18:55,Mint (M),Mint (M),
MRBLP010,Doris,"Did You Give The World Some Love Today, Baby","Mr Bongo, Odeon","LP, Album, RE",,2014,8351266,Funk/Soul,2022-03-07 13:05:02,Mint (M),Mint (M),
"MRBLP104, 444.022",Nico Gomez And His Afro Percussion Inc.,Ritual,"Mr Bongo, Omega International","LP, RE",,2013,4346859,Brazilian,2022-05-06 21:37:13,Near Mint (NM or M-),Near Mint (NM or M-),
"MRBLP149, 6349.077",Gal Costa,Índia,"Mr Bongo, Philips","LP, Album, RE, RM, Gat",,2017,10592124,Brazilian,2018-08-08 00:41:19,Mint (M),Mint (M),
MRB7043,The Incredible Bongo Band,Bongo Rock '73,"Mr Bongo, Pride","7"", Single, RE",,2018,13063733,45 Funk/Soul,2022-07-13 17:33:32,Mint (M),Mint (M),
MRB7043,The Incredible Bongo Band,Bongo Rock '73,"Mr Bongo, Pride","7"", Single, RE",,2018,13063733,45 Funk/Soul,2022-07-13 17:33:49,Mint (M),Mint (M),
"MRBLP162, PRD-0026",The Sylvers,The Sylvers II,"Mr Bongo, Pride, MGM Records","LP, Album",,2018,12094982,Funk/Soul,2019-08-18 03:55:43,Mint (M),Mint (M),
"MRBLP118, PRD-0028, PRD 0028",The Incredible Bongo Band,Bongo Rock,"Mr Bongo, Pride, Pride","LP, Album, RE",,2014,11981320,Funk/Soul,2018-11-25 04:57:10,Mint (M),Mint (M),
"MRBLP193, PRD 0007, PRD-0007",The Sylvers,The Sylvers,"Mr Bongo, Pride, Pride","LP, Album, RE",,2019,13489815,Funk/Soul,2019-04-14 22:52:19,,,
"MRB7156, 101.0195",Zé Roberto,Lotus 72 D,"Mr Bongo, RCA Victor, RCA","7"", Single, RE",,2019,13783116,Brazilian,2019-07-06 04:23:09,Mint (M),Mint (M),
MRBLP231,Marcos Valle,Marcos Valle,"Mr Bongo, Som Livre","LP, Album, Ltd, RE, Pin",,2021,18799177,Brazilian,2021-09-23 16:51:59,Mint (M),Mint (M),
"MRBLP195, SKK (U) 3001",Minoru Muraoka,Bamboo,"Mr Bongo, United Artists Records","LP, Album, RE, Gat",,2019,13629593,Japanese,2019-06-15 06:27:54,Mint (M),Mint (M),
SUITABLE1316,Memphis Slim,1960 London Sessions,Mr. Suit Records,"LP, Album, Ltd, RE, Unofficial",,2014,8279378,Blues,2018-08-08 02:34:07,Near Mint (NM or M-),Near Mint (NM or M-),
MOVLP202,Slowdive,Souvlaki,Music On Vinyl,"LP, Album, RE, 180",,2011,3020028,90's Rock/Alternative,2018-10-11 01:34:02,Mint (M),Near Mint (NM or M-),
MOVLP2048,Nai Palm,Needle Paw,Music On Vinyl,"2xLP, Album",,2018,11445217,Modern R&B,2020-02-14 01:15:16,Mint (M),Mint (M),
MOVLP2893,The Upsetters,Return Of The Super Ape,Music On Vinyl,"LP, Album, Num, RE, RM, Ora",,2022,23073656,Reggae,2022-07-28 21:03:31,Mint (M),Mint (M),
MOVLP3062,Coke Escovedo,Comin' At Ya!,Music On Vinyl,"LP, RE",,2022,24411314,Latin Funk,2022-09-24 23:09:31,Mint (M),Mint (M),
MOVLP060,Lauryn Hill,The Miseducation Of Lauryn Hill,"Music On Vinyl, Columbia","2xLP, Album, RE, 180",,2010,2760215,90s R&B,2018-08-08 04:00:53,Near Mint (NM or M-),Very Good Plus (VG+),
"MOVLP378, SXBS 7006 ",Bill Withers,Just As I Am,"Music On Vinyl, Sussex","LP, Album, RE, RM, 180",,2012,3372277,Funk/Soul,2021-02-06 10:51:11,Mint (M),Mint (M),
"9737-1, 724596973714",José González,Veneer,"Mute, Imperial Recordings (4)","LP, Album, Oli + LP, EP, Gre + RSD, Comp, Dlx, RE,",,2018,12831869,Indie/Alternative,2018-11-23 21:46:54,Mint (M),Mint (M),
"9378-1, XSPOON8",Can,Ege Bamyasi,"Mute, Spoon Records","LP, Album, Ltd, RE, RM, RP, Gre",,2019,14397469,Funk/Soul,2021-07-28 16:13:20,Mint (M),Mint (M),
MI-025,Cake (13),Make Up Your Mind / Let Your Body Go,Mutual Intentions,"12"", Ltd",,2021,18458548,"12"" Funk/Soul",2021-12-01 16:10:26,Mint (M),Mint (M),
NCL 20126LP,Jungle Fire,Tropicoso,Nacional Records,"LP, Album",,2014,6145600,Latin Funk,2022-05-26 20:52:52,Mint (M),Mint (M),
NCL 20147,Willie Bobo,Dig My Feeling,Nacional Records,"LP, Comp",,2016,9094194,Latin Jazz,2018-08-08 02:08:20,Near Mint (NM or M-),Near Mint (NM or M-),
NSD-102,Metal Fingers,Special Herbs Vols 3&4,Nature Sounds,"2xLP, Comp, RE",,2020,13128370,Instrumental/Beats,2021-07-15 15:29:33,Mint (M),Mint (M),
NSD-106,Metal Fingers,Special Herbs Vols 5&6,Nature Sounds,"2xLP, Comp, RE",,2020,16742868,Instrumental/Beats,2021-07-15 15:30:35,Mint (M),Mint (M),
NSD-808,Weldon Irvine,The Sisters,Nature Sounds,"LP, Album, RE, Gat",,2018,11782055,Funk/Soul,2019-07-18 18:04:03,Mint (M),Mint (M),
NSD-814,Bernard Purdie,Soul Drums,Nature Sounds,"2xLP, Album, RE, RM, S/Edition",,2018,11221911,Funk/Soul,2022-02-10 15:38:54,Mint (M),Mint (M),
NSD163,Metal Fingers,Special Herbs Vols 7 & 8,Nature Sounds,"2xLP, Album",,2021,17022486,Instrumental/Beats,2022-08-19 22:26:33,Mint (M),Mint (M),
NSD166,Metal Fingers,Special Herbs Vols 9&0,Nature Sounds,"2xLP, Comp, RE",,2020,14692329,Instrumental/Beats,2021-09-07 13:28:37,Mint (M),Mint (M),
"NSD-100, none",Metal Fingers,Special Herbs Vols 1&2,"Nature Sounds, Metal Face","2xLP, Comp, RE",,2020,16438653,Instrumental/Beats,2021-06-03 16:14:17,Mint (M),,
"NSD-811, 88985363121",Weldon Irvine,Spirit Man,"Nature Sounds, RCA","LP, Album, Ltd, RE",,2017,11056836,Funk/Soul,2021-04-03 21:34:53,Mint (M),Mint (M),
NBNATINA,Tina (45),Are U.Bout' It?,NBN Archives,"2xLP, Album, Ltd",,2021,17038434,90s R&B,2021-01-29 17:09:06,Mint (M),Mint (M),
35753,Slum Village,Fantastic Vol. 2 Instrumentals,Ne'Astra Music Group,3xLP,,2011,3074118,Instrumental/Beats,2018-12-22 00:45:45,Mint (M),Near Mint (NM or M-),
NMG5763-LP ,Slum Village,Fantastic Volume II,Ne'Astra Music Group,"2xLP, Album, RE",,2015,7544757,Hip-Hop,2019-01-03 00:59:34,Near Mint (NM or M-),Near Mint (NM or M-),
NMG5766-7,Slum Village,Fall In Love,Ne'Astra Music Group,"7"", Single",,2018,12033553,45 Hip-Hop/Instrumental,2018-12-21 19:51:28,Mint (M),Mint (M),
NE 431,Stanley Clarke,Stanley Clarke,Nemperor Records,"LP, Album, Pre",,1974,4629383,Jazz,2018-08-08 03:46:04,Good (G),Good (G),
NG 04,Nu Genea & Célia Kameni,Marechià,NG Records (5),"7"", Ltd",,2021,19442212,45 Funk/Soul,2021-10-14 17:43:19,Mint (M),Mint (M),
"NG 05, NG05",Nu Genea,Bar Mediterraneo,"NG Records (5), NG Records (5)","LP, Album",,2022,23192537,Funk/Soul,2022-09-24 23:11:40,Mint (M),Mint (M),
075678644306,The Marías,Cinema,"Nice Life, Atlantic","LP, Album",,2021,19298899,Indie/Alternative,2022-12-09 22:22:46,Mint (M),Mint (M),
ALNLP40R,Khruangbin,The Universe Smiles Upon You,Night Time Stories,"LP, Album, RE, RP, 180",,2016,8149748,Funk/Soul,2018-08-24 01:24:18,Mint (M),Mint (M),
"ALNLP50DUBR, DOC192",Khruangbin,Hasta El Cielo,"Night Time Stories, Dead Oceans","LP, Album + 7""",,2019,16187108,Funk/Soul,2023-04-20 23:41:22,Mint (M),Mint (M),
"ALN75001, DOC184",Khruangbin,Christmas Time Is Here,"Night Time Stories, LateNightTales, Dead Oceans","7"", Ltd, Gre",,2018,12809722,45 Funk/Soul,2018-12-21 19:47:24,Mint (M),Mint (M),
NSR227,Hot Mulligan,You'll Be Fine,No Sleep Records,"LP, Ltd, Cya",,2020,16015546,Contemporary Emo,2021-03-11 18:33:11,Mint (M),Mint (M),
1001,Weldon Irvine,Liberated Brother,Nodlew Music,"LP, RE",,0,2641687,Jazz,2022-05-26 20:56:53,Mint (M),Mint (M),
"NM-1002, 1002, NM 1002",Weldon Irvine,Time Capsule,"Nodlew Music, Nodlew Music, Nodlew Music","LP, Album, Ltd, RE, 180",,2020,14668438,Jazz,2023-04-26 21:11:32,Mint (M),Mint (M),
HP002,Various,Houseplant LP Box Set Vol. 2,Not On Label,"Box, Comp + 3xLP",,2023,26172713,Uncategorized,2023-02-23 14:09:08,Mint (M),Mint (M),
none,My American Heart,Hiding Inside The Horrible Weather,Not On Label,"LP, Album, Ltd, Cok",,2017,11146204,2000s Emo,2018-08-13 23:34:45,Near Mint (NM or M-),Near Mint (NM or M-),
none,Cautious Clay,RESONANCE,Not On Label,"7"", EP",,2018,12426443,45 R&B,2019-10-14 03:14:10,Mint (M),Mint (M),
none,Various,Houseplant LP Box Set Vol. 1,Not On Label,"Box, Comp, Ltd + 3xLP",,2021,17892538,Funk/Soul,2022-01-10 17:01:11,Mint (M),Mint (M),
CR-001,Crumb (9),Crumb / Locket,Not On Label (Crumb (9) Self-released),"12"", EP, RE",,2021,18802660,Indie/Alternative,2022-07-01 21:35:18,Mint (M),Mint (M),
CR002,Crumb (9),Jinx,Not On Label (Crumb (9) Self-released),"LP, Album",,2019,13752632,Indie/Alternative,2023-06-17 22:37:03,Mint (M),Mint (M),
NA 5062,The Equatics,Doin It!!!!,Now-Again Records,"LP, Album, RE",,2023,26667023,Funk/Soul,2023-05-16 21:37:14,Mint (M),Mint (M),
NA 5116,Richard Marks,Never Satisfied,Now-Again Records,"2xLP, Comp",,2015,7083758,Funk/Soul,2022-07-28 21:25:44,Mint (M),Mint (M),
NA 5124,4th Coming,Strange Things: 1970 - 1974,Now-Again Records,"2xLP, Comp",,2015,7636866,Funk/Soul,2021-07-15 15:37:06,Mint (M),Mint (M),
NA 5147,Various,Welcome To Zamrock! Vol. 1,Now-Again Records,"2xLP, Comp, RE",,2022,25406611,African,2023-01-26 00:06:33,Mint (M),Mint (M),
NA 5148,Various,Welcome To Zamrock! - Vol.2,Now-Again Records,"2xLP, Comp, RE",,2022,25361371,African,2023-04-20 23:43:48,Mint (M),Mint (M),
NA 5226,Various,Tickets For Doomsday: Heavy Psychedelic Funk And Soul (Ballads And Dirges 1970-1975),Now-Again Records,"LP, RSD, Comp",,2021,21109981,70's Rock,2022-02-03 17:49:07,Mint (M),Mint (M),
NA 5237,Stark Reality,Discovers Hoagy Carmichael's Music Shop,Now-Again Records,"2xLP, Album, RSD, RE",,2022,25146691,Jazz,2023-01-22 23:03:54,Mint (M),Mint (M),
NA 6105-LP,Witch (3),Lazy Bones!!,Now-Again Records,"LP, Album, Ltd, RE, Ora",,2021,18228043,African,2021-04-30 18:57:27,Mint (M),Mint (M),
NA5017-1,Various,Cold Heat - Heavy Funk Rarities 1968-1974 Vol.1,Now-Again Records,"2xLP, Comp, Gat",,2004,644453,Funk/Soul,2022-07-28 21:28:15,Mint (M),Mint (M),
NA5046,Various,Forge Your Own Chains (Heavy Psychedelic Ballads And Dirges 1968-1974),Now-Again Records,"2xLP, Comp, RM",,2009,1994638,70's Rock,2021-05-14 22:16:56,Mint (M),Mint (M),
NA5134-LP,Various,Loving On The Flipside: Sweet Funk And Beat-Heavy Ballads 1969-1977,Now-Again Records,"2xLP, Comp, RE",,2018,13142358,Funk/Soul,2022-04-07 15:16:21,Mint (M),Mint (M),
NA7021,Various,Forge Your Own Chains: Heavy Psychedelic Ballads And Dirges 1968-1974,Now-Again Records,"7"", Ltd",,2009,1975300,45 Hip-Hop/Instrumental,2023-02-22 22:22:00,Near Mint (NM or M-),Near Mint (NM or M-),
